"Buurten";"Gemiddeld persoonlijk inkomen per inkomensontvanger (x1000 euro)|2022";"heeft last van (minstens 1 vorm van) geluidshinder %|2022";"Voelt zich niet zo gelukkig of ongelukkig|2022";"Beoordeling eigen gezondheid: matig of slecht|2022"
"Achtse Barrier-Gunterslaer";39,2;58;5;11
"Achtse Barrier-Hoeven";37,5;66;6;12
"Achtse Barrier-Spaaihoef";41,4;67;4;11
"Barrier";".";40;6;13
"BeA2";".";".";".";"."
"Beemden";".";".";".";"."
"Bennekel-Oost";30,8;49;9;17
"Bennekel-West, Gagelbosch";30,8;49;9;17
"Bergen";".";72;6;7
"Binnenstad";41,5;76;5;6
"Blaarthem";".";50;10;17
"Blixembosch-Oost";48,2;45;3;12
"Blixembosch-West";".";45;3;12
"Bloemenplein";".";51;9;11
"Bokt";".";".";".";"."
"Bosrijk";".";45;2;6
"Burghplan";".";48;10;20
"Castiliëlaan";".";".";".";"."
"Doornakkers-Oost";".";56;6;16
"Doornakkers-West";31,8;56;6;16
"Drents Dorp";".";47;10;25
"Driehoeksbos";".";49;7;16
"Eckart";29,2;40;6;12
"Eckartdal";".";".";".";"."
"Eikenburg";".";44;3;8
"Eindhoven Airport";".";".";".";"."
"Eliasterrein, Vonderkwartier";43,6;46;5;8
"Elzent-Noord";".";47;4;8
"Elzent-Zuid";".";47;4;8
"Engelsbergen";".";46;5;8
"Esp";".";".";".";"."
"Fellenoord";".";".";".";"."
"Flight Forum";".";".";".";"."
"Genderbeemd";39,5;39;5;13
"Genderdal";".";47;7;13
"Generalenbuurt";32,6;47;8;20
"Gennep";".";".";".";"."
"Genneperzijde";".";47;4;8
"Gerardusplein";41,6;45;6;10
"Gijzenrooi";".";24;3;12
"Gildebuurt";".";66;9;12
"Grasrijk";52,4;45;2;6
"Hagenkamp";".";49;8;6
"Hanevoet";33,8;39;5;15
"Heesterakker";".";39;3;9
"Hemelrijken";28,6;66;9;12
"Herdgang";".";".";".";"."
"Het Ven";33,5;52;7;13
"Hondsheuvels";".";".";".";"."
"Hurk";".";".";".";"."
"Irisbuurt";".";44;9;11
"Jagershoef";28,1;42;8;21
"Joriskwartier";".";64;6;12
"Kapelbeemd";".";".";".";"."
"Karpen";".";53;4;6
"Kerkdorp Acht";47,7;74;3;10
"Kerstroosplein";".";51;9;11
"Koudenhoven";".";53;4;6
"Kronehoef";34,0;52;6;13
"Kruidenbuurt";".";41;5;9
"Lakerlopen";33,4;51;7;12
"Leenderheide";".";".";".";"."
"Lievendaal";".";43;6;13
"Limbeek-Noord";".";70;9;13
"Limbeek-Zuid";".";70;9;13
"Looiakkers";".";64;6;12
"Luytelaer";".";33;4;8
"Meerbos";".";".";".";"."
"Meerrijk";".";44;5;10
"Mensfort";31,2;52;8;16
"Mispelhoef";".";".";".";"."
"Muschberg, Geestenberg";31,8;45;6;14
"Nieuwe Erven";".";44;9;11
"Ooievaarsnest";".";39;5;15
"Oude Gracht-Oost";".";33;4;8
"Oude Gracht-West";".";46;6;14
"Oude Spoorbaan";".";49;8;6
"Oude Toren";".";50;12;17
"Park Forum";".";".";".";"."
"Philipsdorp";40,9;53;7;13
"Poeijers";".";".";".";"."
"Prinsejagt";32,8;49;7;16
"Puttense Dreef";".";24;3;12
"Rapelenburg";".";50;10;17
"Rapenland";".";52;8;16
"Riel";".";".";".";"."
"Rochusbuurt";".";64;6;12
"Roosten";".";44;3;8
"Schoot";37,0;52;7;13
"Schouwbroek";".";53;7;13
"Schrijversbuurt";44,0;49;8;6
"Schuttersbosch";".";24;3;12
"Sintenbuurt";".";48;10;20
"Sportpark Aalsterweg";".";".";".";"."
"Strijp S";43,7;65;9;10
"'t Hofke";31,5;45;6;14
"'t Hool";".";49;9;21
"Tempel";31,7;33;5;22
"Tivoli";".";48;10;20
"Tongelresche Akkers";".";45;6;10
"Tuindorp";".";44;9;11
"TU-terrein";".";".";".";"."
"Urkhoven";".";".";".";"."
"Vaartbroek";30,7;46;8;15
"Villapark";".";53;4;6
"Vlokhoven";28,9;51;10;25
"Vredeoord";".";".";".";"."
"Waterrijk";".";44;5;10
"Wielewaal";".";".";".";"."
"Winkelcentrum";".";49;9;21
"Witte Dame";".";72;6;7
"Woenselse Heide";32,3;44;10;20
"Woenselse Watermolen";".";50;12;17
"Woensel-West";31,2;54;7;13
"Zandrijk";".";45;2;6
"Zwaanstraat";".";40;1;4
